"Step","bright-planet-137 - test/psnr_scat","bright-planet-137 - test/psnr_scat__MIN","bright-planet-137 - test/psnr_scat__MAX"
"287","43.35637664794922","43.35637664794922","43.35637664794922"
"288","47.35921859741211","47.35921859741211","47.35921859741211"
"289","34.10103988647461","34.10103988647461","34.10103988647461"
"290","43.15638732910156","43.15638732910156","43.15638732910156"
"291","47.42982864379883","47.42982864379883","47.42982864379883"
"292","42.4081916809082","42.4081916809082","42.4081916809082"
"293","33.768226623535156","33.768226623535156","33.768226623535156"
"294","34.47758865356445","34.47758865356445","34.47758865356445"
"295","40.416709899902344","40.416709899902344","40.416709899902344"
"296","34.178627014160156","34.178627014160156","34.178627014160156"
"297","45.70662307739258","45.70662307739258","45.70662307739258"
"298","33.34135818481445","33.34135818481445","33.34135818481445"
"299","41.80730056762695","41.80730056762695","41.80730056762695"
"300","42.97880935668945","42.97880935668945","42.97880935668945"
"301","42.178016662597656","42.178016662597656","42.178016662597656"
"302","37.692298889160156","37.692298889160156","37.692298889160156"
"303","32.2193489074707","32.2193489074707","32.2193489074707"
"304","38.527286529541016","38.527286529541016","38.527286529541016"
"305","44.74447250366211","44.74447250366211","44.74447250366211"
"306","45.57231903076172","45.57231903076172","45.57231903076172"
"307","40.6809196472168","40.6809196472168","40.6809196472168"
"308","39.170841217041016","39.170841217041016","39.170841217041016"
"309","43.97053146362305","43.97053146362305","43.97053146362305"
"310","39.79441452026367","39.79441452026367","39.79441452026367"
"311","45.6678352355957","45.6678352355957","45.6678352355957"
"312","42.69315719604492","42.69315719604492","42.69315719604492"
"313","29.5510311126709","29.5510311126709","29.5510311126709"
"314","38.90500259399414","38.90500259399414","38.90500259399414"
"315","36.04978942871094","36.04978942871094","36.04978942871094"
"316","36.17731475830078","36.17731475830078","36.17731475830078"
"317","39.11541748046875","39.11541748046875","39.11541748046875"
"318","41.772953033447266","41.772953033447266","41.772953033447266"
"319","36.172401428222656","36.172401428222656","36.172401428222656"
"320","43.77554702758789","43.77554702758789","43.77554702758789"
"321","31.666778564453125","31.666778564453125","31.666778564453125"
"322","30.149927139282227","30.149927139282227","30.149927139282227"
"323","42.23992156982422","42.23992156982422","42.23992156982422"
"324","38.06663513183594","38.06663513183594","38.06663513183594"
"325","38.11781692504883","38.11781692504883","38.11781692504883"
"326","43.41355895996094","43.41355895996094","43.41355895996094"
"327","44.50508117675781","44.50508117675781","44.50508117675781"
"328","43.86588668823242","43.86588668823242","43.86588668823242"
"329","42.9083137512207","42.9083137512207","42.9083137512207"
"330","37.62386703491211","37.62386703491211","37.62386703491211"
"331","43.016910552978516","43.016910552978516","43.016910552978516"
"332","45.85621643066406","45.85621643066406","45.85621643066406"
"333","47.71694564819336","47.71694564819336","47.71694564819336"
"334","43.027305603027344","43.027305603027344","43.027305603027344"
"335","33.92757034301758","33.92757034301758","33.92757034301758"
"336","40.37146759033203","40.37146759033203","40.37146759033203"
"337","42.44044494628906","42.44044494628906","42.44044494628906"
"338","36.92514419555664","36.92514419555664","36.92514419555664"
"339","42.00221633911133","42.00221633911133","42.00221633911133"
"340","37.7054443359375","37.7054443359375","37.7054443359375"
"342","35.067562103271484","35.067562103271484","35.067562103271484"
"343","45.908592224121094","45.908592224121094","45.908592224121094"
"344","31.325441360473633","31.325441360473633","31.325441360473633"
"345","36.360313415527344","36.360313415527344","36.360313415527344"
"346","37.38876724243164","37.38876724243164","37.38876724243164"
"347","36.674034118652344","36.674034118652344","36.674034118652344"
"348","46.79071044921875","46.79071044921875","46.79071044921875"
"349","31.803483963012695","31.803483963012695","31.803483963012695"
"350","36.909000396728516","36.909000396728516","36.909000396728516"
"351","46.07939910888672","46.07939910888672","46.07939910888672"
"352","37.98274230957031","37.98274230957031","37.98274230957031"
"353","41.692256927490234","41.692256927490234","41.692256927490234"
"354","31.448678970336914","31.448678970336914","31.448678970336914"
"355","43.40592575073242","43.40592575073242","43.40592575073242"
"356","38.68288803100586","38.68288803100586","38.68288803100586"
"357","47.941104888916016","47.941104888916016","47.941104888916016"
"358","45.261695861816406","45.261695861816406","45.261695861816406"
"359","41.56111145019531","41.56111145019531","41.56111145019531"
"360","42.79603958129883","42.79603958129883","42.79603958129883"
"361","32.98200607299805","32.98200607299805","32.98200607299805"
"362","37.899391174316406","37.899391174316406","37.899391174316406"
"363","36.35511016845703","36.35511016845703","36.35511016845703"
"364","35.673519134521484","35.673519134521484","35.673519134521484"
"365","41.038818359375","41.038818359375","41.038818359375"
"366","43.799598693847656","43.799598693847656","43.799598693847656"
"367","44.87318801879883","44.87318801879883","44.87318801879883"
"368","45.283111572265625","45.283111572265625","45.283111572265625"
"369","40.07891082763672","40.07891082763672","40.07891082763672"
"370","42.395076751708984","42.395076751708984","42.395076751708984"
"371","32.31365203857422","32.31365203857422","32.31365203857422"
"372","43.88765335083008","43.88765335083008","43.88765335083008"
"373","44.86429214477539","44.86429214477539","44.86429214477539"
"374","33.50227355957031","33.50227355957031","33.50227355957031"
"375","46.920780181884766","46.920780181884766","46.920780181884766"
"376","36.44792938232422","36.44792938232422","36.44792938232422"
"377","38.57981491088867","38.57981491088867","38.57981491088867"
"378","43.659610748291016","43.659610748291016","43.659610748291016"
"379","39.8741455078125","39.8741455078125","39.8741455078125"
"380","39.50684356689453","39.50684356689453","39.50684356689453"
"381","38.26552963256836","38.26552963256836","38.26552963256836"
"382","43.375240325927734","43.375240325927734","43.375240325927734"
"383","43.89851760864258","43.89851760864258","43.89851760864258"
"384","35.88535690307617","35.88535690307617","35.88535690307617"
"385","36.91508483886719","36.91508483886719","36.91508483886719"
"386","45.2507438659668","45.2507438659668","45.2507438659668"
"387","33.03014373779297","33.03014373779297","33.03014373779297"
"388","46.95027160644531","46.95027160644531","46.95027160644531"
"389","43.85966873168945","43.85966873168945","43.85966873168945"
"391","38.72422790527344","38.72422790527344","38.72422790527344"
"392","38.298309326171875","38.298309326171875","38.298309326171875"
"393","44.084537506103516","44.084537506103516","44.084537506103516"
"394","45.63447952270508","45.63447952270508","45.63447952270508"
"395","40.93403625488281","40.93403625488281","40.93403625488281"
"396","44.175018310546875","44.175018310546875","44.175018310546875"
"397","38.02653121948242","38.02653121948242","38.02653121948242"
"398","38.77391815185547","38.77391815185547","38.77391815185547"
"399","44.11360549926758","44.11360549926758","44.11360549926758"
"400","45.68391418457031","45.68391418457031","45.68391418457031"
"401","36.41389846801758","36.41389846801758","36.41389846801758"
"402","35.02481460571289","35.02481460571289","35.02481460571289"
"403","43.33478927612305","43.33478927612305","43.33478927612305"
"404","29.555477142333984","29.555477142333984","29.555477142333984"
"405","32.3238525390625","32.3238525390625","32.3238525390625"
"406","41.26993942260742","41.26993942260742","41.26993942260742"
"407","43.46167755126953","43.46167755126953","43.46167755126953"
"408","42.12456130981445","42.12456130981445","42.12456130981445"
"409","41.440956115722656","41.440956115722656","41.440956115722656"
"410","35.26321792602539","35.26321792602539","35.26321792602539"
"411","39.16829299926758","39.16829299926758","39.16829299926758"
"412","33.723628997802734","33.723628997802734","33.723628997802734"
"413","32.91918182373047","32.91918182373047","32.91918182373047"
"414","39.42840576171875","39.42840576171875","39.42840576171875"
